player,team,age,position,games_played,minutes_played,total_points,field_goals,field_goals_attempted,free_throws,free_throws_attempted,assists,rebounds,steals,blocks,turnovers,personal_fouls
Jae Crowder,DAL,22,SF,78,1353,392,141,367,47,73,94,187,63,17,49,128
Dante Cunningham,MIN,25,PF,80,2010,695,314,671,67,103,67,408,84,38,56,153
Jared Cunningham,DAL,21,SG,8,26,16,6,14,2,2,1,3,1,0,2,3
Eddy Curry,DAL,30,C,2,25,9,4,8,1,4,0,4,0,0,3,7
Stephen Curry,GSW,24,PG,78,2983,1786,626,1388,262,291,539,314,126,12,240,198
Samuel Dalembert,MIL,31,C,47,765,313,137,253,38,55,21,276,17,53,51,90
Marquis Daniels,MIL,32,SF,59,1085,324,132,351,40,54,65,150,51,10,45,77
Anthony Davis,NOH,19,PF,64,1846,867,349,676,169,225,63,522,75,112,89,158
Ed Davis,TOT,23,C-PF,81,1631,623,260,482,103,167,63,460,38,85,63,191
Ed Davis,TOR,23,C,45,1087,438,186,339,66,102,55,300,25,38,45,111
Ed Davis,MEM,23,PF,36,544,185,74,143,37,65,8,160,13,47,18,80
Glen Davis,ORL,27,PF,34,1064,512,214,478,84,117,70,246,32,21,64,88
Austin Daye,TOT,24,SF,55,676,247,90,208,26,34,42,123,14,22,29,82
Austin Daye,DET,24,SF,24,348,122,43,97,15,18,21,63,5,8,13,43
Austin Daye,MEM,24,SF,31,328,125,47,111,11,16,21,60,9,14,16,39
Nando De Colo,SAS,25,SG,72,920,276,105,241,35,44,138,138,41,6,81,87
Carlos Delfino,HOU,30,SF,67,1689,708,251,620,48,56,135,220,68,9,72,114
Luol Deng,CHI,27,SF,75,2903,1237,466,1093,230,282,222,476,81,32,144,105
Justin Dentmon,DAL,27,PG,2,4,0,0,2,0,0,0,0,0,0,0,0
DeMar DeRozan,TOR,23,SG,82,3013,1485,548,1231,355,427,204,320,76,24,151,173
Boris Diaw,SAS,30,PF,75,1709,435,179,332,47,65,180,254,52,27,84,143
DeSagana Diop,CHA,31,C,22,226,16,8,27,0,1,13,51,5,16,8,19
Keyon Dooling,MEM,32,PG,7,82,31,10,21,6,7,8,1,1,0,5,8
Toney Douglas,TOT,26,PG,71,1289,534,188,466,76,84,151,138,71,3,81,145
Toney Douglas,HOU,26,PG,49,913,399,139,352,60,68,93,90,40,2,56,103
Toney Douglas,SAC,26,PG,22,376,135,49,114,16,16,58,48,31,1,25,42
Chris Douglas-Roberts,DAL,26,SG,6,63,17,5,14,7,10,4,5,2,0,1,4
Goran Dragic,PHO,26,PG,77,2581,1134,401,906,244,326,569,238,124,26,212,214
Andre Drummond,DET,19,C,60,1243,476,208,342,59,159,30,457,59,95,57,144
Jared Dudley,PHO,27,SF,79,2170,861,313,669,129,162,203,245,75,8,101,128
